TOTAL CFU	2650	50	1010	"10,000"	70	2070	10	10	20	1560	240	10	310	10	110	10	30	90	35030	30	101500	300	202030	20	1000	10	80	60	1000	60	50	890	10610	20	380	50	530	1200	1000	20000	101040	1070	1040	30	870	30	1000	10	20000	10	10020	10	20	15000	50	100	2000	110020	60	1160	100000	30	300	50	600	10	790	20	20	50	100000	200000	10	10	20	10	100000	10	100030	1000	20	20	110520	330	210	134000	100010	100	100000	101600	100040	102120	500	310	10000	100110	150000	150000	20	10000	3190	100000	101000	100550	10	100000	100	100020	100110	1310	100040	130000	21510	100120	1210	10000	30010	100000	100080	2040	30	101020	"100,000"	"100,000"	"100,000"	100000	50200	53530	1080	100000	120000	103080	116000	317140	100800	110000	100060	234100	200010	73000	111750	100020	50100	100000	103180	1090	100000	"230,000"	10	"100,020"	"100,000"	"110,000"	1010	"100,100"	"100,000"	"110,000"	"31,500"	50	3000	7570	10000	300	600	3120	250	960	300	160	10	1220	590	1460	11000	680	340	20	3360	60	110	550	60	220	110150	0	330	220	780	60	9910	2380	22330	2520	10	1710	101580	50	2360	400	960	50000	50	30	630	30	210	840	590	1030	2070	200	60	50	340	10	10000	1010	1540	111040	340	4600	1060	10	1640	4010	450	100000	1000	500	120	1030	20	10000	160	100750	90	700	3720	80	10200	40	50	2100	10	1560	1500	300	23940	320	100	30	1530	10	50	120	520	600	250	10	590	140	840	140	30	20	30	10040	10000	2220	2410	1190	850	30	2110	1010	30	260	10080	80	1060	600	860	160	12000	40	2950	520	20010	40	10
	C001	C002	C005	C006	C007	C008	C009	C010	C011	C012	C013	C014	C015	C017	C019	C020	C021	C022	C023	C024	C025	C027	C029	C030	C031	C033	C037	C038	C039	C045	C046	C048	C050	C053	C054	C055	C057	C058	C059	C061	C062	C064	C066	C067	C068	C069	C072	C073	C074	C076	C077	C079	C080	C082	C085	C092	C093	C094	C104	C110	C112	C114	C115	C116	C118	C119	C122	C124	C125	C127	C128	C129	C130	C132	C135	C136	C137	C138	C139	C142	C145	C146	C147	C148	C150	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E016	E018	E025	E029	E033	E044	E048	E052	E060	E067	E078	E082	E092	E093	E097	E098	E105	E107	E108	E109	E110	E112	E114	E115	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129	E130	E132	E133	E138	E139	E140	E141	E142	E143	E144	E145	E146	E147	E148	E149	E150	E151	E152	E153	E154	E155	E156	E157	OAB017_B	OAB018_B	OAB019_B	OAB020_B	OAB021_B	OAB022_B	OAB023_B	OAB024_B	OAB025_B	OAB026_B	OAB027_B	OAB028_B	OAB029_B	OAB030_B	OAB031_B	OAB032_B	OAB033_B	OAB035_B	OAB036_B	OAB039_B	OAB040_B	OAB041_B	OAB042_B	OAB043_B	OAB044_B	OAB045_B	OAB046_B	OAB047_B	OAB048_B	OAB049_B	OAB050_B	OAB051_B	OAB052_B	OAB053_B	OAB056_B	OAB058_B	OAB059_B	OAB060_B	OAB061_B	OAB062_B	OAB063_B	OAB064_B	OAB065_B	OAB066_B	OAB067_B	OAB068_B	OAB069_B	OAB071_B	OAB072_B	OAB074_B	OAB075_B	UUI02	UUI03	UUI04	UUI05	UUI06	UUI08	UUI09	UUI10	UUI11	UUI12	UUI13	UUI14	UUI15	UUI16	UUI17	UUI18	UUI20	UUI21	UUI22	UUI23	UUI24	UUI26	UUI29	UUI30	UUI32	UUI35	UUI36	UUI37	UUI39	UUI40	UUI41	UUI42	UUI43	UUI44	UUI46	UUI47	UUI48	UUI49	SUI01	SUI02	SUI03	SUI04	SUI05	SUI06	SUI07	SUI08	SUI10	SUI12	SUI14	SUI15	SUI16	SUI17	SUI18	SUI19	SUI21	SUI22	SUI23	SUI24	SUI25	SUI27	SUI28	SUI29	SUI30	SUI31	SUI32	SUI33	SUI36	SUI37	SUI38	SUI39	SUI40	SUI41	SUI42	SUI43	SUI44	SUI45	SUI46	SUI47	SUI48	SUI49	SUI50
Acinetobacterjohnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobaculumschaalii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	500	0	0	0	0	0	100	0	0	10	0	540	0	0	200	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0
Actinobaculumurinae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyceseuropaeus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	40	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycesgraevenitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycesneuii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	150	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	10	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	10	0	90	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Actinomycesodontolyticus	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycesoris  	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
